Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping
DEL,GOI,2017-10-21T19:50:00Z,19:50,22:40,4981.0,4482.0,346.0,AirAsia,1,2h 50m,Economy,773,I5,I5_773_,False
DEL,GOI,2017-10-21T16:45:00Z,16:45,19:30,5420.0,4954.0,250.0,Spicejet HBag Only,9,2h 45m,Economy,144,OS,OS_144_,False
DEL,GOI,2017-10-21T18:45:00Z,18:45,21:20,5507.0,4900.0,391.0,Vistara,9,2h 35m,Economy,867,UK,UK_867_,False
DEL,GOI,2017-10-21T21:35:00Z,21:35,00:15,5521.0,4075.0,1231.0,IndiGo,3,2h 40m,Economy,505,6E,6E_505_,False
DEL,GOI,2017-10-21T16:45:00Z,16:45,19:30,5524.0,5054.0,254.0,Spicejet,9,2h 45m,Economy,144,SG,SG_144_,False
DEL,GOI,2017-10-21T12:10:00Z,12:10,14:50,5790.0,5253.0,384.0,AirAsia,7,2h 40m,Economy,775,I5,I5_775_,False
DEL,GOI,2017-10-21T05:10:00Z,05:10,08:00,5790.0,5253.0,384.0,AirAsia,9,2h 50m,Economy,779,I5,I5_779_,False
DEL,GOI,2017-10-21T15:55:00Z,15:55,19:00,5790.0,5253.0,384.0,AirAsia,5,3h 5m,Economy,796,I5,I5_796_,False
DEL,GOI,2017-10-21T15:15:00Z,15:15,17:50,6386.0,4900.0,1271.0,Indigo Special,5,2h 35m,Economy,399,O6,O6_399_,False
DEL,GOI,2017-10-21T18:50:00Z,18:50,21:25,6386.0,4900.0,1271.0,Indigo Special,5,2h 35m,Economy,341,O6,O6_341_,False
DEL,GOI,2017-10-21T14:35:00Z,14:35,17:15,6386.0,4900.0,1271.0,Indigo Special,1,2h 40m,Economy,222,O6,O6_222_,False
DEL,GOI,2017-10-21T11:25:00Z,11:25,14:05,6543.0,6023.0,304.0,Spicejet HBag Only,9,2h 40m,Economy,171,OS,OS_171_,False
DEL,GOI,2017-10-21T15:15:00Z,15:15,17:50,6596.0,5100.0,1281.0,IndiGo,5,2h 35m,Economy,399,6E,6E_399_,False
DEL,GOI,2017-10-21T18:50:00Z,18:50,21:25,6596.0,5100.0,1281.0,IndiGo,5,2h 35m,Economy,341,6E,6E_341_,False
DEL,GOI,2017-10-21T14:35:00Z,14:35,17:15,6596.0,5100.0,1281.0,IndiGo,1,2h 40m,Economy,222,6E,6E_222_,False
DEL,GOI,2017-10-21T08:50:00Z,08:50,14:15,6596.0,5100.0,1281.0,IndiGo,5,5h 25m,Economy,5268_ 905,6E,6E_5268_ 905_,False
DEL,GOI,2017-10-21T11:25:00Z,11:25,14:05,6647.0,6123.0,308.0,Spicejet,9,2h 40m,Economy,171,SG,SG_171_,False
DEL,GOI,2017-10-21T10:40:00Z,10:40,13:40,7436.0,5900.0,1321.0,Indigo Special,5,3h 0m,Economy,329,O6,O6_329_,False
